time_key,date,day,month,month_name,quarter,year,day_of_week
118,2024-06-17,17,6,June,Q2,2024,Monday
119,2024-06-18,18,6,June,Q2,2024,Tuesday
120,2024-06-19,19,6,June,Q2,2024,Wednesday
121,2024-06-20,20,6,June,Q2,2024,Thursday
122,2024-06-21,21,6,June,Q2,2024,Friday
123,2024-06-24,24,6,June,Q2,2024,Monday
124,2024-06-25,25,6,June,Q2,2024,Tuesday
125,2024-06-26,26,6,June,Q2,2024,Wednesday
126,2024-06-27,27,6,June,Q2,2024,Thursday
127,2024-06-28,28,6,June,Q2,2024,Friday
128,2024-07-01,1,7,July,Q3,2024,Monday
129,2024-07-02,2,7,July,Q3,2024,Tuesday
130,2024-07-03,3,7,July,Q3,2024,Wednesday
131,2024-07-04,4,7,July,Q3,2024,Thursday
132,2024-07-08,8,7,July,Q3,2024,Monday
133,2024-07-09,9,7,July,Q3,2024,Tuesday
134,2024-07-11,11,7,July,Q3,2024,Thursday
135,2024-07-12,12,7,July,Q3,2024,Friday
136,2024-07-15,15,7,July,Q3,2024,Monday
137,2024-07-16,16,7,July,Q3,2024,Tuesday
138,2024-07-17,17,7,July,Q3,2024,Wednesday
139,2024-07-23,23,7,July,Q3,2024,Tuesday
140,2024-07-24,24,7,July,Q3,2024,Wednesday
141,2024-07-25,25,7,July,Q3,2024,Thursday
142,2024-07-30,30,7,July,Q3,2024,Tuesday
143,2024-07-31,31,7,July,Q3,2024,Wednesday
144,2024-08-01,1,8,August,Q3,2024,Thursday
145,2024-08-02,2,8,August,Q3,2024,Friday
146,2024-08-03,3,8,August,Q3,2024,Saturday
147,2024-08-05,5,8,August,Q3,2024,Monday
148,2024-08-07,7,8,August,Q3,2024,Wednesday
149,2024-08-08,8,8,August,Q3,2024,Thursday
150,2024-08-09,9,8,August,Q3,2024,Friday
151,2024-08-12,12,8,August,Q3,2024,Monday
152,2024-08-13,13,8,August,Q3,2024,Tuesday
153,2024-08-15,15,8,August,Q3,2024,Thursday
154,2024-08-16,16,8,August,Q3,2024,Friday
155,2024-08-19,19,8,August,Q3,2024,Monday
156,2024-08-20,20,8,August,Q3,2024,Tuesday
157,2024-08-21,21,8,August,Q3,2024,Wednesday
158,2024-08-22,22,8,August,Q3,2024,Thursday
159,2024-08-27,27,8,August,Q3,2024,Tuesday
160,2024-08-28,28,8,August,Q3,2024,Wednesday
161,2024-08-29,29,8,August,Q3,2024,Thursday
162,2024-08-30,30,8,August,Q3,2024,Friday
163,2024-09-01,1,9,September,Q3,2024,Sunday
164,2024-09-03,3,9,September,Q3,2024,Tuesday
165,2024-09-04,4,9,September,Q3,2024,Wednesday
166,2024-09-05,5,9,September,Q3,2024,Thursday
167,2024-09-06,6,9,September,Q3,2024,Friday
168,2024-09-12,12,9,September,Q3,2024,Thursday
169,2024-09-13,13,9,September,Q3,2024,Friday
170,2024-09-16,16,9,September,Q3,2024,Monday
171,2024-09-17,17,9,September,Q3,2024,Tuesday
172,2024-09-18,18,9,September,Q3,2024,Wednesday
173,2024-09-19,19,9,September,Q3,2024,Thursday
174,2024-09-20,20,9,September,Q3,2024,Friday
175,2024-09-23,23,9,September,Q3,2024,Monday
176,2024-09-24,24,9,September,Q3,2024,Tuesday
177,2024-09-25,25,9,September,Q3,2024,Wednesday
178,2024-09-26,26,9,September,Q3,2024,Thursday
179,2024-09-27,27,9,September,Q3,2024,Friday
180,2024-09-30,30,9,September,Q3,2024,Monday
181,2024-10-03,3,10,October,Q4,2024,Thursday
182,2024-10-04,4,10,October,Q4,2024,Friday
183,2024-10-08,8,10,October,Q4,2024,Tuesday
184,2024-10-09,9,10,October,Q4,2024,Wednesday
185,2024-10-10,10,10,October,Q4,2024,Thursday
186,2024-10-11,11,10,October,Q4,2024,Friday
187,2024-10-14,14,10,October,Q4,2024,Monday
188,2024-10-15,15,10,October,Q4,2024,Tuesday
189,2024-10-16,16,10,October,Q4,2024,Wednesday
190,2024-10-17,17,10,October,Q4,2024,Thursday
191,2024-10-18,18,10,October,Q4,2024,Friday
192,2024-10-21,21,10,October,Q4,2024,Monday
193,2024-10-22,22,10,October,Q4,2024,Tuesday
194,2024-10-23,23,10,October,Q4,2024,Wednesday
195,2024-10-24,24,10,October,Q4,2024,Thursday
196,2024-10-28,28,10,October,Q4,2024,Monday
197,2024-10-29,29,10,October,Q4,2024,Tuesday
198,2024-10-30,30,10,October,Q4,2024,Wednesday
199,2024-10-31,31,10,October,Q4,2024,Thursday
200,2024-11-01,1,11,November,Q4,2024,Friday
201,2024-11-04,4,11,November,Q4,2024,Monday
202,2024-11-06,6,11,November,Q4,2024,Wednesday
203,2024-11-07,7,11,November,Q4,2024,Thursday
204,2024-11-08,8,11,November,Q4,2024,Friday
205,2024-11-12,12,11,November,Q4,2024,Tuesday
206,2024-11-13,13,11,November,Q4,2024,Wednesday
207,2024-11-14,14,11,November,Q4,2024,Thursday
208,2024-11-15,15,11,November,Q4,2024,Friday
209,2024-11-18,18,11,November,Q4,2024,Monday
210,2024-11-19,19,11,November,Q4,2024,Tuesday
211,2024-11-20,20,11,November,Q4,2024,Wednesday
212,2024-11-21,21,11,November,Q4,2024,Thursday
213,2024-11-22,22,11,November,Q4,2024,Friday
214,2024-11-29,29,11,November,Q4,2024,Friday
215,2024-12-02,2,12,December,Q4,2024,Monday
216,2024-12-03,3,12,December,Q4,2024,Tuesday
217,2024-12-04,4,12,December,Q4,2024,Wednesday
218,2024-12-05,5,12,December,Q4,2024,Thursday
219,2024-12-06,6,12,December,Q4,2024,Friday
220,2024-12-09,9,12,December,Q4,2024,Monday
221,2024-12-10,10,12,December,Q4,2024,Tuesday
222,2024-12-12,12,12,December,Q4,2024,Thursday
223,2024-12-13,13,12,December,Q4,2024,Friday
224,2024-12-16,16,12,December,Q4,2024,Monday
225,2024-12-17,17,12,December,Q4,2024,Tuesday
226,2024-12-18,18,12,December,Q4,2024,Wednesday
227,2024-12-19,19,12,December,Q4,2024,Thursday
228,2024-12-20,20,12,December,Q4,2024,Friday
229,2024-12-23,23,12,December,Q4,2024,Monday
230,2024-12-27,27,12,December,Q4,2024,Friday
231,2024-12-30,30,12,December,Q4,2024,Monday
